"TertiaryNodes","SrcRadiusTertiary","GridTimeSeconds","RaytraceTimeSeconds","TotalTimeSeconds","SingleRayPathTime"
"1","1","0.7137474","5.2948498","6.0085972","6.0085972"
"1","2","0.7208376","5.1935337","5.9143713","5.9143713"
"1","3","0.8474935","5.1322763","5.9797698","5.9797698"
"1","4","0.8245944","5.1578881","5.9824825","5.9824825"
"1","5","0.7239327","5.3430805","6.0670132","6.0670132"
"1","6","0.799689","5.2236611","6.0233501","6.0233501"
"1","7","0.7204887","5.2957458","6.0162345","6.0162345"
"1","8","0.8380885","5.2113135","6.049402","6.049402"
"1","9","0.7233821","5.1903092","5.9136913","5.9136913"
"1","10","0.761021","5.7871309","6.5481519","6.5481519"
"2","1","0.7370326","5.3137076","6.0507402","6.0507402"
"2","2","0.8785913","5.2200291","6.0986204","6.0986204"
"2","3","0.7112146","5.6182701","6.3294847","6.3294847"
"2","4","0.7693374","5.9683143","6.7376517","6.7376517"
"2","5","0.7367406","5.5986764","6.335417","6.335417"
"2","6","0.8085572","5.8945002","6.7030574","6.7030574"
"2","7","0.7379829","5.2986747","6.0366576","6.0366576"
"2","8","0.7375782","5.3241015","6.0616797","6.0616797"
"2","9","0.731099","5.6612183","6.3923173","6.3923173"
"2","10","0.8307823","5.3802837","6.211066","6.211066"
"3","1","0.7172528","5.3550888","6.0723416","6.0723416"
"3","2","0.7170643","5.5407825","6.2578468","6.2578468"
"3","3","0.7241915","5.265658","5.9898495","5.9898495"
"3","4","0.7912254","5.2950964","6.0863218","6.0863218"
"3","5","0.792153","5.5251009","6.3172539","6.3172539"
"3","6","0.7240718","5.3753454","6.0994172","6.0994172"
"3","7","0.7329762","5.4960025","6.2289787","6.2289787"
"3","8","0.716159","5.3084532","6.0246122","6.0246122"
"3","9","0.7179026","5.3486726","6.0665752","6.0665752"
"3","10","0.7191097","5.3080745","6.0271842","6.0271842"
"4","1","0.7161632","5.1367765","5.8529397","5.8529397"
"4","2","0.7123905","5.144577","5.8569675","5.8569675"
"4","3","0.7099522","5.2494396","5.9593918","5.9593918"
"4","4","0.7262698","5.308118","6.0343878","6.0343878"
"4","5","0.7074295","5.1516753","5.8591048","5.8591048"
"4","6","0.7097826","5.2462588","5.9560414","5.9560414"
"4","7","0.7529624","5.540801","6.2937634","6.2937634"
"4","8","0.7486855","5.1976788","5.9463643","5.9463643"
"4","9","0.7288465","5.5602123","6.2890588","6.2890588"
"4","10","0.9823583","5.6655475","6.6479058","6.6479058"
"5","1","0.709426","5.2124218","5.9218478","5.9218478"
"5","2","0.7108152","5.2424468","5.953262","5.953262"
"5","3","0.7228095","5.6957227","6.4185322","6.4185322"
"5","4","0.7120517","5.3397832","6.0518349","6.0518349"
"5","5","0.737784","5.3221791","6.0599631","6.0599631"
"5","6","0.7104796","5.7927294","6.503209","6.503209"
"5","7","0.715294","5.3456774","6.0609714","6.0609714"
"5","8","0.7565674","5.3724269","6.1289943","6.1289943"
"5","9","0.7220822","5.2510471","5.9731293","5.9731293"
"5","10","0.7086501","5.2586152","5.9672653","5.9672653"
