"TertiaryNodes","SrcRadiusTertiary","GridTimeSeconds","RaytraceTimeSeconds","TotalTimeSeconds","SingleRayPathTime"
"6","1","0.7357793","5.3045896","6.0403689","6.0403689"
"6","2","0.7406491","5.7138708","6.4545199","6.4545199"
"6","3","0.7156333","5.2675263","5.9831596","5.9831596"
"6","4","0.8412792","5.1870164","6.0282956","6.0282956"
"6","5","0.8309808","5.1378008","5.9687816","5.9687816"
"6","6","0.8328744","5.1538414","5.9867158","5.9867158"
"6","7","0.7155402","5.1747053","5.8902455","5.8902455"
"6","8","0.7101936","5.6501458","6.3603394","6.3603394"
"6","9","0.714672","5.4486843","6.1633563","6.1633563"
"6","10","0.7208102","5.1823049","5.9031151","5.9031151"
"7","1","0.7228973","5.3468015","6.0696988","6.0696988"
"7","2","0.7303927","5.4286814","6.1590741","6.1590741"
"7","3","0.714801","5.2196049","5.9344059","5.9344059"
"7","4","0.797699","5.3468067","6.1445057","6.1445057"
"7","5","0.8508764","5.1822207","6.0330971","6.0330971"
"7","6","0.7165131","5.1882197","5.9047328","5.9047328"
"7","7","0.7468416","3.6588596","4.4057012","4.4057012"
"7","8","0.7729571","3.6730546","4.4460117","4.4460117"
"7","9","0.7483511","3.7290797","4.4774308","4.4774308"
"7","10","0.7697143","3.717444","4.4871583","4.4871583"
"8","1","0.7739339","3.7678114","4.5417453","4.5417453"
"8","2","0.7393456","3.662652","4.4019976","4.4019976"
"8","3","0.7439431","3.6826862","4.4266293","4.4266293"
"8","4","0.7586734","3.6986509","4.4573243","4.4573243"
"8","5","0.7480139","3.7371876","4.4852015","4.4852015"
"8","6","0.7415319","3.7007994","4.4423313","4.4423313"
"8","7","2.6336594","22.9357125","25.5693719","25.5693719"
"8","8","2.5426065","22.1694222","24.7120287","24.7120287"
"8","9","2.5266182","22.1129054","24.6395236","24.6395236"
"8","10","2.5574464","23.1016628","25.6591092","25.6591092"
"9","1","2.5427398","22.8443223","25.3870621","25.3870621"
"9","2","2.5434027","22.9994061","25.5428088","25.5428088"
"9","3","2.5692301","22.9495232","25.5187533","25.5187533"
"9","4","2.5438263","22.68552","25.2293463","25.2293463"
"9","5","2.5453416","22.0751082","24.6204498","24.6204498"
"9","6","2.5654152","22.6484392","25.2138544","25.2138544"
"9","7","2.704145","24.1373166","26.8414616","26.8414616"
"9","8","2.5768248","22.4105932","24.987418","24.987418"
"9","9","2.5362037","21.9613191","24.4975228","24.4975228"
"9","10","2.542951","22.1768456","24.7197966","24.7197966"
"10","1","2.5643963","22.822823","25.3872193","25.3872193"
"10","2","2.7400429","23.1143104","25.8543533","25.8543533"
"10","3","2.5848996","22.5577943","25.1426939","25.1426939"
"10","4","2.5681526","22.2015732","24.7697258","24.7697258"
"10","5","2.5188416","22.2659448","24.7847864","24.7847864"
"10","6","2.5495894","22.8745773","25.4241667","25.4241667"
"10","7","2.5788195","22.1706543","24.7494738","24.7494738"
"10","8","2.5070652","22.1266099","24.6336751","24.6336751"
"10","9","2.5227364","22.4117408","24.9344772","24.9344772"
"10","10","2.5322986","22.0976653","24.6299639","24.6299639"
